school_year,school_level_id,veracross_course_id,class_id,description,veracross_teacher_fk,begin_date,end_date,grading_period_group_id,grading_method_id,grade_conversion_scale_id,term_credit_hours,room_id,homeroom_class_internal_id,student_group,virtual_meeting_url,class_notes
2024,4,349,3281-S3,Christian Ethics - s3,101237,,,2,1,,,10,,,,
2024,4,349,3281-S2,Christian Ethics - s2,101237,,,2,1,,,10,,,,
2024,4,349,3281-S4,Christian Ethics - s4,101237,,,2,1,,,10,,,,
2024,4,349,3281-S1,Christian Ethics - s1,101237,,,2,1,,,10,,,,
2024,4,349,3281-S5,Christian Ethics - s5,101237,,,2,1,,,10,,,,
2024,3,147,1977-S1,Math - 7 - s1,101444,,,2,1,,,70,,,,
2024,3,147,1977-S2,Math - 7 - s2,101444,,,2,1,,,70,,,,
2024,3,135,2396-S1,Performing Arts Drama - 8 - s1,101586,,,2,1,,,83,,,,
2024,3,135,2396-S2,Performing Arts Drama - 8 - s2,101586,,,2,1,,,83,,,,
2024,4,443,3444-G12-S1,HS Student Council - s1,101536,,,2,1,,,,,,,
2024,4,443,3444-G11-S1,HS Student Council - s1,101536,,,2,1,,,,,,,
2024,4,430,3191-S1,Psychology PSL - s1,101403,,,2,1,,,161,,,,
2024,3,270,2401-S1,Health - 8 - s1,101102,,,2,1,,,66,,,,
2024,3,204,2417-S2,Religious Eductaion - 8 - s2,101433,,,2,1,,,72,,,,
2024,3,107,3074-S2,Design - 7 - s2,101094,,,2,1,,,88,,,,
2024,3,115,3069-S2,Language and Literature - 7 - s2,101494,,,2,1,,,85,,,,
2024,3,116,3070-S1,Language and Literature - 8 - s1,101494,,,2,1,,,85,,,,
2024,3,116,3070-S3,Language and Literature - 8 - s3,101494,,,2,1,,,85,,,,
2024,3,116,3070-S2,Language and Literature - 8 - s2,101494,,,2,1,,,85,,,,
2024,3,148,2005-S2,Math - 8 - s2,101444,,,2,1,,,70,,,,
2024,3,148,2005-S1,Math - 8 - s1,101444,,,2,1,,,70,,,,
2024,3,148,2005-S3,Math - 8 - s3,101444,,,2,1,,,70,,,,
2024,3,139,2472-S1,Visual Arts - 8 - s1,101523,,,2,1,,,68,,,,
2024,4,427,3186-S1,Economics - PHL - s1,101286,,,2,1,,,160,,,,
2024,4,426,3185-S1,Economics - PSL - s1,101286,,,2,1,,,160,,,,
2024,4,384,3199-S2,Korean B - PSL - s2,101357,,,2,1,,,102,,,,
2024,4,282,3422-S3,English A: Language & Literature HL - s3,101478,,,2,1,,,18,,,,
2024,4,282,3422-S2,English A: Language & Literature HL - s2,101478,,,2,1,,,18,,,,
2024,4,284,3424-S3,English A: Language & Literature PSL - s3,101478,,,2,1,,,18,,,,
2024,4,284,3424-S1,English A: Language & Literature PSL - s1,101442,,,2,1,,,17,,,,
2024,4,284,3424-S2,English A: Language & Literature PSL - s2,101442,,,2,1,,,17,,,,
2024,4,282,3422-S1,English A: Language & Literature HL - s1,101442,,,2,1,,,17,,,,
2024,3,270,2401-S2,Health - 8 - s2,101102,,,2,1,,,66,,,,
2024,4,427,3186-S3,Economics - PHL - s3,101356,,,2,1,,,,,,,
2024,4,296,1638-S1,Photography - s1,100742,,,2,1,,,35,,,,
2024,4,295,523-G12-S1,Yearbook - s1,100742,,,2,1,,,35,,,,
2024,4,295,523-G11-S1,Yearbook - s1,100742,,,2,1,,,35,,,,
2024,4,308,3333-G12-S1,Introduction to Statistics - 11-12 - s1,101978,,,2,1,,,148,,,,
2024,4,308,3333-G11-S1,Introduction to Statistics - 11-12 - s1,101978,,,2,1,,,148,,,,
2024,4,308,3333-S2,Introduction to Statistics - 11-12 - s2,101978,,,2,1,,,148,,,,
2024,4,146,1653-S1,Math - 9 - s1,101978,,,2,1,,,148,,,,
2024,4,146,1653-S2,Math - 9 - s2,101978,,,2,1,,,148,,,,
2024,4,146,1653-S3,Math - 9 - s3,101978,,,2,1,,,148,,,,
2024,4,297,1950-G12-S1,Sculpture - s1,101202,,,2,1,,,27,,,,
2024,4,297,1950-G11-S1,Sculpture - s1,101202,,,2,1,,,27,,,,
2024,3,107,3074-S1,Design - 7 - s1,101094,,,2,1,,,88,,,,
